Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,11.73,11.79,11.45,11.45,5452600,11.45
2016-11-29,11.88,12.01,11.85,11.88,5848800,11.88
2016-11-28,11.72,11.97,11.72,11.94,5120000,11.94
2016-11-25,11.34,11.64,11.34,11.63,2851400,11.63
2016-11-23,11.29,11.44,11.25,11.34,5093300,11.34
2016-11-22,11.42,11.50,11.32,11.41,5606700,11.41
2016-11-21,11.45,11.62,11.37,11.55,3756800,11.55
2016-11-18,11.42,11.67,11.38,11.40,6742500,11.40
2016-11-17,11.35,11.51,11.31,11.43,3138300,11.43
2016-11-16,11.50,11.53,11.25,11.35,4204900,11.35
2016-11-15,11.27,11.56,11.27,11.54,6105100,11.54
2016-11-14,11.19,11.25,11.08,11.22,10625000,11.22
2016-11-11,11.53,11.57,11.13,11.26,5521000,11.26
2016-11-10,11.98,12.02,11.41,11.47,6489300,11.47
2016-11-09,12.30,12.30,11.91,12.01,6592200,12.01
2016-11-08,12.44,12.48,12.29,12.43,4824800,12.43
2016-11-07,12.27,12.43,12.21,12.41,6915200,12.41
2016-11-04,11.52,12.47,11.25,12.11,10314500,12.11
2016-11-03,11.46,11.84,11.44,11.75,6656200,11.75
2016-11-02,11.59,11.59,11.25,11.46,9286400,11.46
2016-11-01,11.77,11.81,11.60,11.65,5119600,11.65
2016-10-31,11.70,11.93,11.69,11.77,5699900,11.77
2016-10-28,11.72,11.82,11.59,11.65,6259500,11.65
2016-10-27,12.00,12.05,11.76,11.82,4578700,11.71
2016-10-26,11.98,12.04,11.88,12.00,3757900,11.888325
2016-10-25,12.01,12.08,11.91,12.02,3173300,11.908139
2016-10-24,12.11,12.14,11.97,12.05,3445800,11.93786
2016-10-21,11.94,12.08,11.87,12.02,4317500,11.908139
2016-10-20,12.15,12.26,12.04,12.05,4042400,11.93786
2016-10-19,11.90,12.16,11.88,12.12,5088000,12.007208
2016-10-18,11.85,11.95,11.74,11.87,5544300,11.759535
2016-10-17,11.60,11.73,11.60,11.71,6197700,11.601024
2016-10-14,11.72,11.88,11.55,11.57,5647500,11.462326
2016-10-13,11.61,11.85,11.51,11.73,5451800,11.620837
2016-10-12,11.54,11.72,11.50,11.67,5039800,11.561396
2016-10-11,11.62,11.65,11.45,11.52,4010100,11.412792
2016-10-10,11.67,11.77,11.61,11.67,4412900,11.561396
2016-10-07,11.73,11.83,11.58,11.59,6837800,11.482141
2016-10-06,11.79,11.83,11.60,11.66,8281500,11.551489
2016-10-05,12.00,12.06,11.77,11.86,14013500,11.749628
2016-10-04,12.38,12.38,11.87,11.95,9760200,11.83879
2016-10-03,12.64,12.75,12.21,12.47,8951200,12.353951
2016-09-30,12.91,13.01,12.82,12.85,5867900,12.730415
2016-09-29,13.14,13.14,12.80,12.90,6109400,12.779949
2016-09-28,13.13,13.17,12.96,13.15,5722200,13.027622
2016-09-27,13.10,13.14,12.87,13.08,4674100,12.958274
2016-09-26,13.23,13.27,13.10,13.12,2636100,12.997902
2016-09-23,13.13,13.32,13.10,13.26,3955800,13.136599
2016-09-22,13.17,13.22,13.00,13.19,3388900,13.06725
2016-09-21,12.81,13.11,12.78,13.10,5100900,12.978088
2016-09-20,12.74,12.84,12.67,12.78,4173300,12.661066
2016-09-19,12.59,12.73,12.52,12.70,3410800,12.58181
2016-09-16,12.48,12.57,12.35,12.54,5634700,12.4233
2016-09-15,12.27,12.62,12.22,12.55,5503800,12.433207
2016-09-14,12.42,12.58,12.26,12.32,5306100,12.205347
2016-09-13,12.49,12.54,12.30,12.39,5888300,12.274696
2016-09-12,12.28,12.65,12.24,12.59,6041500,12.472834
2016-09-09,12.79,12.82,12.32,12.33,4979800,12.215254
2016-09-08,13.00,13.03,12.88,12.95,6269900,12.829484
2016-09-07,12.85,13.08,12.80,13.03,8097200,12.908739
2016-09-06,12.30,12.85,12.25,12.84,7370500,12.720508
2016-09-02,12.04,12.26,12.04,12.23,3539000,12.116184
2016-09-01,12.07,12.09,11.85,12.01,5600300,11.898232
2016-08-31,12.00,12.08,11.92,12.07,6618500,11.957673
2016-08-30,12.15,12.18,11.99,12.02,3245700,11.908139
2016-08-29,12.07,12.23,12.02,12.15,2851400,12.036929
2016-08-26,12.16,12.31,11.96,12.02,5161400,11.908139
2016-08-25,12.09,12.16,12.02,12.11,2631900,11.997301
2016-08-24,12.17,12.18,12.04,12.08,2799600,11.96758
2016-08-23,12.35,12.40,12.17,12.18,4733300,12.06665
2016-08-22,12.22,12.32,12.16,12.29,2751100,12.175626
2016-08-19,12.40,12.41,12.16,12.22,4115600,12.106278
2016-08-18,12.27,12.50,12.24,12.50,5215500,12.383672
2016-08-17,12.00,12.31,11.89,12.28,6745100,12.165719
2016-08-16,12.01,12.08,11.95,12.00,5935000,11.888325
2016-08-15,12.24,12.33,12.09,12.09,3011700,11.977488
2016-08-12,12.24,12.37,12.20,12.22,3451800,12.106278
2016-08-11,12.19,12.24,12.11,12.24,3343700,12.126091
2016-08-10,12.05,12.19,12.05,12.18,3237300,12.06665
2016-08-09,12.18,12.25,12.03,12.07,3806000,11.957673
2016-08-08,12.28,12.32,12.14,12.18,3218200,12.06665
2016-08-05,12.44,12.52,12.10,12.23,6722800,12.116184
2016-08-04,12.38,12.44,12.21,12.41,3850900,12.294509
2016-08-03,12.21,12.59,12.14,12.40,4452700,12.284602
2016-08-02,12.14,12.23,12.07,12.18,4365300,12.06665
2016-08-01,12.33,12.37,12.13,12.17,4826500,12.056743
2016-07-29,12.22,12.40,12.13,12.35,5621400,12.235068
2016-07-28,12.24,12.30,12.10,12.25,2244000,12.135998
2016-07-27,12.62,12.66,12.26,12.37,4207000,12.145905
2016-07-26,12.66,12.68,12.54,12.61,3532400,12.381557
2016-07-25,12.64,12.72,12.61,12.67,3189100,12.44047
2016-07-22,12.58,12.68,12.52,12.65,2738400,12.420832
2016-07-21,12.55,12.61,12.47,12.59,3530300,12.36192
2016-07-20,12.50,12.58,12.39,12.56,3038500,12.332463
2016-07-19,12.50,12.52,12.35,12.51,3343400,12.283369
2016-07-18,12.63,12.63,12.51,12.57,2273700,12.342282
2016-07-15,12.55,12.68,12.52,12.63,3748800,12.401195
2016-07-14,12.64,12.68,12.44,12.52,2987500,12.293188
2016-07-13,12.57,12.64,12.40,12.63,5046500,12.401195
2016-07-12,12.57,12.68,12.47,12.48,3396100,12.253912
2016-07-11,12.32,12.56,12.24,12.55,3808100,12.322644
2016-07-08,12.15,12.32,12.03,12.32,4182400,12.096811
2016-07-07,12.21,12.26,12.00,12.10,4849600,11.880797
2016-07-06,12.13,12.25,12.03,12.23,4760600,12.008441
2016-07-05,12.25,12.29,12.05,12.20,5444400,11.978985
2016-07-01,12.48,12.53,12.25,12.33,4320900,12.10663
