Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,41.240002,41.310001,40.209999,40.220001,3201500,40.220001
2016-11-29,41.400002,42.169998,41.400002,41.84,3238700,41.84
2016-11-28,40.790001,41.560001,40.720001,41.52,1853700,41.52
2016-11-25,39.880001,40.650002,39.880001,40.599998,787300,40.599998
2016-11-23,40.07,40.50,39.639999,39.720001,2724400,39.720001
2016-11-22,40.279999,40.689999,40.040001,40.529999,2248000,40.529999
2016-11-21,39.75,40.279999,39.689999,40.18,1880300,40.18
2016-11-18,39.740002,39.990002,39.52,39.720001,1255200,39.720001
2016-11-17,39.75,40.119999,39.66,39.77,1351400,39.77
2016-11-16,40.049999,40.27,39.66,39.919998,1976900,39.919998
2016-11-15,39.66,40.119999,39.66,39.990002,2231000,39.990002
2016-11-14,39.48,39.630001,38.919998,39.490002,1935100,39.490002
2016-11-11,39.459999,40.220001,39.43,39.75,2732800,39.75
2016-11-10,40.130001,40.330002,38.779999,39.490002,3428000,39.490002
2016-11-09,41.16,41.16,40.290001,40.34,2368200,40.34
2016-11-08,41.77,42.27,41.709999,41.98,1381000,41.98
2016-11-07,41.02,41.709999,40.580002,41.709999,1616000,41.709999
2016-11-04,41.360001,41.689999,40.77,40.779999,1561300,40.779999
2016-11-03,40.669998,41.299999,40.59,41.16,1594700,41.16
2016-11-02,41.200001,41.209999,40.470001,40.869999,1629900,40.869999
2016-11-01,42.139999,42.200001,41.470001,41.529999,2530600,41.219999
2016-10-31,41.470001,42.549999,41.439999,42.150002,2134700,41.835374
2016-10-28,41.240002,41.529999,41.119999,41.299999,2264200,40.991717
2016-10-27,41.52,41.799999,41.189999,41.360001,2074000,41.05127
2016-10-26,41.599998,41.869999,41.279999,41.650002,2032900,41.339106
2016-10-25,41.27,41.619999,41.25,41.610001,1293600,41.299404
2016-10-24,41.360001,41.529999,41.060001,41.380001,1420300,41.071121
2016-10-21,41.150002,41.310001,40.889999,41.16,1154200,40.852762
2016-10-20,41.470001,41.869999,41.25,41.349998,1808400,41.041343
2016-10-19,41.34,41.529999,41.049999,41.360001,2138600,41.05127
2016-10-18,41.169998,41.610001,40.830002,41.419998,1698200,41.11082
2016-10-17,40.830002,41.080002,40.75,41.040001,1270900,40.733659
2016-10-14,40.73,41.110001,40.509998,40.700001,1449600,40.396197
2016-10-13,40.470001,41.240002,40.380001,40.849998,2216500,40.545075
2016-10-12,40.07,40.529999,40.049999,40.41,1552400,40.108361
2016-10-11,40.450001,40.59,40.029999,40.110001,2099000,39.810601
2016-10-10,40.360001,40.669998,40.290001,40.610001,1711500,40.306869
2016-10-07,40.77,41.150002,40.220001,40.259998,1746900,39.959479
2016-10-06,40.23,40.59,40.009998,40.450001,1794800,40.148063
2016-10-05,40.52,40.98,40.150002,40.380001,2452200,40.078586
2016-10-04,41.349998,41.400002,40.23,40.459999,2091800,40.157987
2016-10-03,41.919998,41.919998,41.119999,41.400002,1307300,41.090973
2016-09-30,42.380001,42.66,41.720001,42.009998,2221300,41.696416
2016-09-29,42.869999,42.869999,41.98,42.310001,1887500,41.99418
2016-09-28,43.23,43.400002,42.560001,43.00,1839000,42.679028
2016-09-27,44.150002,44.439999,43.200001,43.259998,2087100,42.937085
2016-09-26,43.869999,44.150002,43.669998,44.02,2008500,43.691415
2016-09-23,43.599998,44.220001,43.48,43.869999,2414400,43.542533
