Date,priceA,priceB,action,abs_return_A,pct_return_A,abs_return_B,pct_return_B,spread,interest_rate,spy,vix,port_val
2002-03-19,15.385101,7.964804,hold,0,0,0,0,7.420297,1.67,87.334468,18.16,100000
2002-03-20,15.25356,7.907204,sell,0,0,0,0,7.346356,1.78,85.691138,18.459999,100000.0
2002-03-21,15.732371,8.089605,hold,0,0,0,0,7.642766,1.74,85.72832,18.15,99970.359
2002-03-22,15.779726,8.016004,hold,0,0,0,0,7.763722,1.68,85.542423,17.77,99958.2634
2002-03-25,15.811296,7.977604,sell,0,0,0,0,7.833692,1.75,84.479091,18.48,99951.2664
2002-03-26,15.858651,8.073604,hold,0,0,0,0,7.785047,1.71,84.969856,18.129999,99960.9954
2002-03-27,16.000716,8.089605,buy,-74.7156,-0.0489824014853,18.2401,0.0230676987719,7.911111,1.69,85.192935,17.700001,99935.7826
2002-03-28,16.100688,7.961604,hold,0,0,0,0,8.139084,1.77,85.155753,17.4,99912.9853
2002-04-01,16.005978,8.003204,hold,0,0,0,0,8.002774,1.88,85.192935,18.73,99926.6163
2002-04-02,16.216444,7.952004,hold,0,0,0,0,8.26444,1.74,84.724476,19.16,99900.4497
2002-04-03,16.174351,7.980804,sell,0,0,0,0,8.193547,1.81,84.129603,20.200001,99907.539
2002-04-04,16.248014,8.073604,buy,-43.6718,-0.0276206327426,9.6,0.0120336883104,8.17441,1.74,83.780116,19.780001,99911.3664
2002-04-05,16.211182,8.016004,hold,0,0,0,0,8.195178,1.7,83.794991,19.129999,99909.2896
2002-04-08,16.337462,8.044804,sell,0,0,0,0,8.292658,1.72,83.97345,19.610001,99899.5416
2002-04-09,16.263799,8.003204,buy,-8.9448,-0.00553023734924,2.24,0.00280673476006,8.260595,1.68,83.386015,19.469999,99905.9542
2002-04-10,16.342724,8.028804,buy,-0.5262,-0.000322081850902,-1.6,-0.00198886138183,8.31392,1.73,84.330375,18.190001,99900.6217
2002-04-11,16.326939,7.888004,buy,0,0,0,0,8.438935,1.83,82.23345,20.299999,99900.6217
2002-04-12,16.384817,8.086404,sell,5.7878,0.00354493882779,-19.84,-0.0251521170628,8.298413,1.79,82.85063,19.42,99886.5695
