Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,70.209999,70.389999,68.75,68.769997,2257900,68.769997
2016-11-29,71.019997,71.739998,70.849998,71.150002,1525900,71.150002
2016-11-28,69.959999,71.349998,69.959999,71.269997,1871800,71.269997
2016-11-25,69.260002,69.970001,69.209999,69.760002,806200,69.760002
2016-11-23,69.00,69.709999,68.57,68.989998,992900,68.989998
2016-11-22,69.309998,69.919998,69.00,69.730003,1525300,69.730003
2016-11-21,68.800003,69.389999,68.529999,69.279999,1379000,69.279999
2016-11-18,68.660004,69.040001,68.160004,68.449997,980000,68.449997
2016-11-17,68.639999,69.489998,68.639999,68.690002,1565800,68.690002
2016-11-16,69.57,69.730003,68.540001,68.839996,1026200,68.839996
2016-11-15,68.760002,69.800003,68.690002,69.440002,1385900,69.440002
2016-11-14,68.620003,68.720001,67.440002,68.339996,2468800,68.339996
2016-11-11,68.800003,69.650002,68.349998,68.849998,1511200,68.849998
2016-11-10,69.860001,69.860001,67.610001,68.760002,3689200,68.760002
2016-11-09,70.860001,71.010002,69.760002,70.169998,2197500,70.169998
2016-11-08,71.739998,72.629997,71.589996,72.260002,1362600,72.260002
2016-11-07,70.760002,71.57,69.870003,71.57,1367100,71.57
2016-11-04,71.449997,72.110001,70.290001,70.309998,1471400,70.309998
2016-11-03,70.370003,71.330002,69.970001,71.050003,1229900,71.050003
2016-11-02,72.290001,72.330002,70.080002,70.699997,1957200,70.699997
2016-11-01,73.389999,73.440002,72.199997,72.50,1871000,72.50
2016-10-31,71.970001,73.809998,71.480003,73.480003,1912200,73.480003
2016-10-28,71.510002,72.040001,71.389999,71.879997,826300,71.879997
2016-10-27,71.459999,71.720001,70.879997,71.410004,861000,71.410004
2016-10-26,71.660004,71.949997,71.059998,71.760002,1054800,71.760002
2016-10-25,71.099998,71.690002,70.970001,71.620003,1145400,71.620003
2016-10-24,71.220001,71.470001,70.68,71.260002,1191900,71.260002
2016-10-21,71.379997,71.650002,70.489998,70.900002,1625100,70.900002
2016-10-20,72.029999,72.410004,71.639999,71.75,1508700,71.75
2016-10-19,72.07,72.330002,71.50,72.019997,2727800,72.019997
2016-10-18,71.610001,72.129997,70.980003,72.07,1885200,72.07
2016-10-17,71.089996,71.400002,70.940002,71.220001,813900,71.220001
2016-10-14,70.690002,71.419998,70.290001,70.849998,1790100,70.849998
2016-10-13,70.139999,71.480003,69.989998,71.010002,1531200,71.010002
2016-10-12,69.550003,70.220001,69.550003,70.059998,1130600,70.059998
2016-10-11,70.18,70.239998,69.230003,69.410004,1420100,69.410004
2016-10-10,70.080002,70.370003,69.650002,70.260002,1114500,70.260002
2016-10-07,70.230003,70.919998,69.809998,69.889999,1533000,69.889999
2016-10-06,69.519997,70.120003,69.209999,69.82,1606300,69.82
2016-10-05,70.010002,70.50,69.309998,69.760002,2705300,69.760002
2016-10-04,71.309998,71.309998,69.470001,69.889999,2262500,69.889999
2016-10-03,72.059998,72.139999,70.93,71.389999,1707700,71.389999
2016-09-30,73.029999,73.529999,71.910004,72.25,1734400,72.25
2016-09-29,73.449997,73.480003,72.25,72.68,1311500,72.68
2016-09-28,73.949997,74.18,72.980003,73.699997,1289600,73.699997
2016-09-27,75.889999,76.300003,74.129997,74.239998,1769800,73.76
2016-09-26,75.639999,75.82,75.279999,75.550003,1565100,75.061535
2016-09-23,75.139999,75.959999,74.940002,75.620003,1399200,75.131082
2016-09-22,75.360001,75.589996,74.830002,75.510002,1016800,75.021793
2016-09-21,73.290001,75.080002,73.290001,75.00,1551100,74.515088
2016-09-20,73.669998,74.07,73.32,73.360001,979000,72.885692
2016-09-19,73.209999,73.559998,72.980003,73.519997,1380000,73.044653
2016-09-16,71.970001,73.139999,71.739998,73.080002,2086100,72.607503
2016-09-15,71.650002,72.32,71.459999,72.199997,1238000,71.733188
2016-09-14,71.889999,72.349998,71.489998,71.830002,1611800,71.365585
2016-09-13,72.339996,72.529999,71.349998,71.629997,2139200,71.166874
2016-09-12,71.379997,72.690002,71.379997,72.519997,1685600,72.051119
2016-09-09,73.169998,73.269997,71.309998,71.400002,2995600,70.938365
2016-09-08,73.589996,74.010002,73.32,73.849998,1254200,73.372522
2016-09-07,74.00,74.040001,73.519997,73.769997,1156300,73.293037
2016-09-06,73.959999,74.50,73.57,74.110001,1592500,73.630843
2016-09-02,73.050003,73.879997,72.75,73.699997,1828800,73.22349
2016-09-01,72.660004,72.760002,72.25,72.699997,1509700,72.229956
2016-08-31,72.019997,72.739998,71.739998,72.720001,1724600,72.24983
2016-08-30,72.650002,73.00,71.919998,71.959999,1004100,71.494742
2016-08-29,72.040001,72.849998,72.040001,72.809998,1820000,72.339245
2016-08-26,73.720001,74.199997,71.760002,71.900002,1984300,71.435132
2016-08-25,74.040001,74.230003,73.589996,73.650002,1536700,73.173818
