Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,70.650002,70.650002,68.709999,68.730003,2137700,68.730003
2016-11-29,70.309998,71.50,70.269997,71.400002,1740200,71.400002
2016-11-28,69.730003,70.830002,69.669998,70.580002,1309200,70.580002
2016-11-25,68.32,69.760002,68.32,69.529999,737900,69.529999
2016-11-23,67.940002,68.559998,67.790001,68.120003,1162000,68.120003
2016-11-22,68.089996,69.029999,67.559998,68.410004,2090000,68.410004
2016-11-21,68.169998,68.550003,67.940002,68.419998,1380900,68.419998
2016-11-18,68.089996,68.43,67.400002,67.830002,1296200,67.830002
2016-11-17,67.93,68.610001,67.760002,68.18,1199300,68.18
2016-11-16,68.690002,68.879997,67.580002,68.120003,1045100,68.120003
2016-11-15,68.339996,68.809998,67.690002,68.629997,1824700,68.629997
2016-11-14,67.150002,68.309998,66.730003,68.029999,1993800,68.029999
2016-11-11,67.879997,68.550003,67.120003,67.410004,1133200,67.410004
2016-11-10,68.50,69.290001,66.709999,67.870003,2943400,67.870003
2016-11-09,70.360001,70.809998,68.769997,68.849998,1691100,68.849998
2016-11-08,70.800003,71.989998,70.790001,71.730003,1758000,71.730003
2016-11-07,71.150002,71.57,70.489998,71.510002,1752600,70.640001
2016-11-04,71.699997,72.449997,70.779999,70.82,1229600,69.958393
2016-11-03,71.32,71.760002,71.089996,71.389999,1395100,70.521458
2016-11-02,71.769997,71.830002,70.989998,71.419998,1665300,70.551092
2016-11-01,73.540001,73.709999,71.709999,71.93,1920400,71.05489
2016-10-31,72.589996,73.910004,72.410004,73.68,2040400,72.783599
2016-10-28,72.040001,72.709999,71.75,72.360001,1544300,71.479659
2016-10-27,71.550003,71.959999,70.900002,71.879997,2170200,71.005495
2016-10-26,72.349998,72.529999,71.25,72.279999,1846500,71.40063
2016-10-25,73.510002,73.739998,72.440002,72.480003,2218400,71.598201
2016-10-24,74.050003,74.480003,73.449997,74.07,1153700,73.168854
2016-10-21,74.129997,74.639999,73.900002,74.169998,976100,73.267635
2016-10-20,74.760002,75.07,74.360001,74.510002,782300,73.603503
2016-10-19,75.050003,75.129997,74.309998,74.889999,958500,73.978877
2016-10-18,75.099998,75.440002,74.120003,74.93,944600,74.018391
