Date,Rate
2001-11-30,2.060
2001-12-01,2.060
2001-12-02,2.060
2001-12-03,2.050
2001-12-04,1.930
2001-12-05,1.890
2001-12-06,1.870
2001-12-07,1.920
2001-12-08,1.920
2001-12-09,1.920
2001-12-10,1.900
2001-12-11,1.800
2001-12-12,1.810
2001-12-13,1.860
2001-12-14,1.880
2001-12-15,1.880
2001-12-16,1.880
2001-12-17,1.930
2001-12-18,1.710
2001-12-19,1.710
2001-12-20,1.790
2001-12-21,1.780
2001-12-22,1.780
2001-12-23,1.780
2001-12-24,1.680
2001-12-25,1.680
2001-12-26,1.890
2001-12-27,1.850
2001-12-28,1.540
2001-12-29,1.540
2001-12-30,1.540
2001-12-31,1.520
2002-01-01,1.520
2002-01-02,1.920
2002-01-03,1.720
2002-01-04,1.610
2002-01-05,1.610
2002-01-06,1.610
2002-01-07,1.610
2002-01-08,1.610
2002-01-09,1.740
2002-01-10,1.810
2002-01-11,1.710
2002-01-12,1.710
2002-01-13,1.710
2002-01-14,1.780
2002-01-15,1.750
2002-01-16,1.690
2002-01-17,1.680
2002-01-18,1.710
2002-01-19,1.710
2002-01-20,1.710
2002-01-21,1.710
2002-01-22,1.840
2002-01-23,1.810
2002-01-24,1.800
2002-01-25,1.780
2002-01-26,1.780
2002-01-27,1.780
2002-01-28,1.790
2002-01-29,1.780
2002-01-30,1.780
2002-01-31,1.850
2002-02-01,1.770
2002-02-02,1.770
2002-02-03,1.770
2002-02-04,1.740
2002-02-05,1.640
2002-02-06,1.660
2002-02-07,1.740
2002-02-08,1.690
2002-02-09,1.690
2002-02-10,1.690
2002-02-11,1.760
2002-02-12,1.720
2002-02-13,1.750
2002-02-14,1.810
2002-02-15,1.730
2002-02-16,1.730
2002-02-17,1.730
2002-02-18,1.730
2002-02-19,1.770
2002-02-20,1.760
2002-02-21,1.770
2002-02-22,1.710
2002-02-23,1.710
2002-02-24,1.710
2002-02-25,1.800
2002-02-26,1.770
2002-02-27,1.760
2002-02-28,1.830
2002-03-01,1.780
2002-03-02,1.780
2002-03-03,1.780
2002-03-04,1.680
2002-03-05,1.630
2002-03-06,1.710
2002-03-07,1.770
2002-03-08,1.690
2002-03-09,1.690
2002-03-10,1.690
2002-03-11,1.750
2002-03-12,1.680
2002-03-13,1.730
2002-03-14,1.790
2002-03-15,1.800
2002-03-16,1.800
2002-03-17,1.800
2002-03-18,1.710
