Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,22.33,22.33,21.916,22.030001,136900,22.030001
2016-11-29,22.49,22.518,22.17,22.309999,124700,22.309999
2016-11-28,22.950001,23.01,22.42,22.559999,162700,22.559999
2016-11-25,23.200001,23.26,23.028999,23.15,67700,23.15
2016-11-23,23.02,23.120001,22.91,23.10,104300,23.10
2016-11-22,22.950001,23.059999,22.799999,23.02,98800,23.02
2016-11-21,23.389999,23.389999,22.82,22.860001,157400,22.860001
2016-11-18,23.32,23.40,22.841,22.99,118500,22.99
2016-11-17,23.67,23.690001,23.01,23.200001,162500,23.200001
2016-11-16,23.40,23.726,23.299999,23.530001,128200,23.530001
2016-11-15,22.75,23.25,22.709999,22.959999,185900,22.959999
2016-11-14,23.690001,23.690001,22.41,22.65,248900,22.65
2016-11-11,24.07,24.17,23.52,23.690001,141700,23.690001
2016-11-10,24.66,24.68,23.799999,23.90,218600,23.90
2016-11-09,25.09,25.10,24.48,24.50,202700,24.50
2016-11-08,25.23,25.24,25.10,25.129999,97900,25.129999
2016-11-07,25.26,25.290001,25.110001,25.15,69600,25.15
2016-11-04,25.139999,25.15,25.040001,25.10,43900,25.10
2016-11-03,25.17,25.17,25.040001,25.10,88100,25.10
2016-11-02,25.209999,25.209999,25.00,25.10,76100,25.10
2016-11-01,25.25,25.27,25.09,25.190001,119300,25.190001
2016-10-31,25.379999,25.379999,25.139999,25.139999,87000,25.139999
2016-10-28,25.440001,25.440001,25.33,25.360001,126000,25.360001
2016-10-27,25.530001,25.530001,25.33,25.33,110300,25.33
2016-10-26,25.48,25.58,25.459999,25.530001,256400,25.530001
2016-10-25,25.52,25.549999,25.440001,25.440001,192700,25.440001
2016-10-24,25.50,25.52,25.450001,25.48,48200,25.48
2016-10-21,25.40,25.427,25.389999,25.389999,72200,25.389999
2016-10-20,25.440001,25.48,25.389999,25.40,84100,25.40
2016-10-19,25.450001,25.476,25.379999,25.42,76500,25.42
2016-10-18,25.469999,25.50,25.370001,25.42,74700,25.42
2016-10-17,25.450001,25.450001,25.299999,25.33,85800,25.33
2016-10-14,25.360001,25.440001,25.34,25.379999,158400,25.379999
2016-10-13,25.389999,25.389999,25.25,25.25,145400,25.25
2016-10-12,25.459999,25.459999,25.25,25.27,172500,25.27
2016-10-11,25.549999,25.60,25.299999,25.299999,91900,25.299999
2016-10-10,25.639999,25.639999,25.51,25.51,41600,25.51
2016-10-07,25.65,25.67,25.559999,25.639999,50200,25.639999
2016-10-06,25.639999,25.65,25.52,25.60,88500,25.60
2016-10-05,25.700001,25.700001,25.549999,25.639999,72700,25.639999
2016-10-04,25.75,25.77,25.65,25.66,73800,25.66
2016-10-03,25.77,25.77,25.67,25.67,62600,25.67
2016-09-30,25.83,25.85,25.690001,25.690001,165700,25.690001
2016-09-29,25.77,25.799999,25.629999,25.73,139700,25.73
2016-09-28,25.68,25.74,25.629999,25.700001,89000,25.700001
2016-09-27,25.66,25.790001,25.587,25.67,106800,25.67
2016-09-26,25.67,25.690001,25.615999,25.67,113300,25.67
2016-09-23,25.690001,25.690001,25.610001,25.65,130700,25.65
2016-09-22,25.549999,25.639999,25.530001,25.629999,213600,25.629999
2016-09-21,25.43,25.50,25.360001,25.50,196800,25.50
