Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,22.18,22.42,21.92,21.940001,3403000,21.940001
2016-11-29,22.10,22.48,22.040001,22.370001,3708900,22.370001
2016-11-28,22.23,22.35,22.07,22.209999,2663000,22.209999
2016-11-25,21.75,22.190001,21.67,22.139999,1779200,22.139999
2016-11-23,21.60,21.799999,21.440001,21.639999,2228600,21.639999
2016-11-22,21.90,22.18,21.77,21.83,2603000,21.83
2016-11-21,21.82,22.059999,21.809999,21.889999,1811700,21.889999
2016-11-18,21.60,21.809999,21.549999,21.709999,2118900,21.709999
2016-11-17,21.709999,21.93,21.559999,21.610001,1454000,21.610001
2016-11-16,21.98,22.07,21.52,21.75,2257800,21.75
2016-11-15,21.74,22.15,21.719999,21.91,3031200,21.91
2016-11-14,21.24,21.709999,21.17,21.559999,5346200,21.559999
2016-11-11,21.50,21.780001,21.360001,21.41,2470300,21.41
2016-11-10,22.110001,22.110001,21.459999,21.530001,4789100,21.530001
2016-11-09,22.120001,22.66,21.780001,22.26,4316600,22.26
2016-11-08,22.34,22.77,22.32,22.58,2951100,22.58
2016-11-07,22.10,22.32,21.809999,22.309999,2878500,22.309999
2016-11-04,22.209999,22.41,21.889999,21.92,2083800,21.92
2016-11-03,21.98,22.209999,21.809999,22.139999,2173800,22.139999
2016-11-02,22.34,22.469999,21.93,22.09,3233500,22.09
2016-11-01,23.129999,23.190001,22.209999,22.34,4578300,22.34
2016-10-31,22.610001,23.290001,22.559999,23.26,3772000,23.26
2016-10-28,22.50,22.690001,22.41,22.530001,1542500,22.530001
2016-10-27,22.459999,22.549999,22.200001,22.48,2378600,22.48
2016-10-26,22.77,22.85,22.549999,22.709999,1991300,22.544999
2016-10-25,22.50,22.84,22.440001,22.82,2222500,22.654201
2016-10-24,22.67,22.799999,22.450001,22.530001,2959200,22.366309
2016-10-21,22.700001,22.780001,22.52,22.610001,2944700,22.445727
2016-10-20,22.82,22.93,22.73,22.790001,1909900,22.62442
2016-10-19,23.030001,23.040001,22.74,22.84,2156600,22.674056
2016-10-18,23.00,23.129999,22.690001,23.059999,1864400,22.892457
2016-10-17,22.76,22.969999,22.76,22.91,2257700,22.743547
2016-10-14,22.799999,22.959999,22.639999,22.68,3121000,22.515219
2016-10-13,23.049999,23.139999,22.799999,22.90,2541800,22.733619
2016-10-12,22.41,22.74,22.379999,22.690001,2106600,22.525146
2016-10-11,22.809999,22.83,22.370001,22.379999,1924400,22.217397
2016-10-10,22.700001,22.93,22.700001,22.91,1851800,22.743547
2016-10-07,22.99,23.25,22.60,22.610001,2878900,22.445727
2016-10-06,22.75,23.00,22.66,22.84,2147500,22.674056
2016-10-05,23.10,23.200001,22.790001,22.85,3854300,22.683984
2016-10-04,23.559999,23.559999,22.790001,22.98,5038900,22.813038
2016-10-03,24.059999,24.059999,23.52,23.620001,3239700,23.44839
2016-09-30,24.34,24.42,23.93,24.110001,2937700,23.934829
2016-09-29,24.51,24.58,24.129999,24.209999,2276400,24.034101
2016-09-28,24.75,24.799999,24.41,24.65,2279300,24.470905
2016-09-27,25.209999,25.35,24.639999,24.690001,2358400,24.510615
2016-09-26,25.110001,25.26,25.01,25.10,2295200,24.917636
2016-09-23,25.16,25.25,24.940001,25.110001,3028200,24.927564
2016-09-22,25.48,25.58,25.110001,25.27,3480100,25.086401
2016-09-21,24.559999,25.42,24.559999,25.379999,3268600,25.195601
2016-09-20,24.549999,24.76,24.51,24.60,3301400,24.421269
2016-09-19,24.219999,24.459999,24.10,24.43,1925900,24.252504
2016-09-16,23.549999,24.129999,23.469999,24.120001,3700800,23.944757
2016-09-15,23.41,23.68,23.309999,23.65,1569900,23.47817
2016-09-14,23.299999,23.549999,23.200001,23.42,2354200,23.249842
2016-09-13,23.639999,23.639999,23.209999,23.23,2290700,23.061222
2016-09-12,23.40,23.75,23.379999,23.700001,3068100,23.527808
2016-09-09,24.190001,24.209999,23.360001,23.370001,2394000,23.200206
2016-09-08,24.299999,24.50,24.190001,24.389999,2439400,24.212794
2016-09-07,24.360001,24.41,24.16,24.379999,1799500,24.202866
2016-09-06,24.26,24.51,24.16,24.42,2130500,24.242576
2016-09-02,23.870001,24.18,23.809999,24.129999,2063800,23.954682
2016-09-01,23.91,24.01,23.77,23.83,1699900,23.656863
2016-08-31,23.879999,23.959999,23.700001,23.940001,2865600,23.766064
2016-08-30,24.26,24.40,23.82,23.860001,2845200,23.686646
2016-08-29,24.25,24.379999,24.15,24.25,3678300,24.073811
2016-08-26,24.77,24.940001,24.129999,24.190001,3141200,24.014248
2016-08-25,24.76,24.860001,24.67,24.690001,4071500,24.510615
2016-08-24,24.700001,24.790001,24.52,24.76,1768300,24.580106
2016-08-23,24.90,25.00,24.700001,24.700001,1972400,24.520543
2016-08-22,24.76,24.969999,24.73,24.82,2944200,24.63967
