Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,11.36,11.51,11.29,11.34,18334400,11.34
2016-11-29,11.52,11.64,11.22,11.31,5011700,11.31
2016-11-28,11.05,11.57,11.04,11.55,5695100,11.55
2016-11-25,11.03,11.11,10.92,10.95,1755900,10.95
2016-11-23,10.76,11.12,10.75,11.03,2868000,11.03
2016-11-22,11.41,11.45,10.89,10.91,4402500,10.91
2016-11-21,11.33,11.61,11.31,11.52,2728800,11.52
2016-11-18,11.27,11.47,11.20,11.21,2818300,11.21
2016-11-17,11.17,11.52,11.14,11.25,4538500,11.25
2016-11-16,11.43,11.43,11.02,11.19,4729900,11.19
2016-11-15,11.59,11.75,11.28,11.48,6332300,11.48
2016-11-14,11.17,11.83,11.11,11.68,5598000,11.68
2016-11-11,11.08,11.25,10.78,11.07,5899100,11.07
2016-11-10,12.10,12.10,11.06,11.07,8540700,11.07
2016-11-09,11.57,12.15,11.43,12.03,7197200,12.03
2016-11-08,11.47,11.66,11.32,11.47,6675800,11.47
2016-11-07,11.26,11.52,11.24,11.38,6407600,11.38
2016-11-04,10.78,11.67,10.73,11.03,11076000,11.03
2016-11-03,9.95,10.37,9.84,10.13,6045700,10.13
2016-11-02,10.46,10.48,9.88,9.89,8691100,9.89
2016-11-01,10.65,10.76,10.50,10.63,5105100,10.63
2016-10-31,10.37,10.80,10.37,10.63,8552900,10.63
2016-10-28,10.41,10.57,10.20,10.30,5802500,10.30
2016-10-27,10.50,10.72,10.37,10.47,5371200,10.44
2016-10-26,10.87,10.93,10.40,10.53,7669400,10.499828
2016-10-25,11.11,11.18,10.81,10.95,7115000,10.918625
2016-10-24,11.57,11.73,11.05,11.11,5960000,11.078166
2016-10-21,11.52,11.88,11.33,11.52,6072000,11.486992
2016-10-20,12.09,12.15,11.38,11.64,6933600,11.606648
2016-10-19,11.75,12.12,11.49,12.10,5508900,12.06533
2016-10-18,11.13,11.76,11.00,11.70,9783300,11.666476
2016-10-17,11.13,11.25,10.92,10.97,3838800,10.938568
2016-10-14,11.27,11.46,11.02,11.11,5277000,11.078166
2016-10-13,11.07,11.34,10.87,11.27,4231700,11.237708
