Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,47.849998,47.849998,46.790001,46.82,9362900,46.82
2016-11-29,48.169998,48.709999,48.099998,48.310001,7190400,48.310001
2016-11-28,47.830002,48.380001,47.799999,48.310001,5521100,48.310001
2016-11-25,47.41,47.950001,47.41,47.779999,2486200,47.779999
2016-11-23,47.23,47.560001,47.09,47.23,4562700,47.23
2016-11-22,47.48,47.73,47.189999,47.599998,4976800,47.599998
2016-11-21,47.25,47.619999,47.049999,47.540001,5330100,47.540001
2016-11-18,47.560001,47.650002,46.889999,47.130001,5611600,47.130001
2016-11-17,47.790001,47.84,47.450001,47.50,5224300,47.50
2016-11-16,48.50,48.610001,47.919998,48.43,7003800,47.870001
2016-11-15,48.150002,48.529999,47.869999,48.34,5828500,47.781042
2016-11-14,47.509998,47.720001,46.82,47.630001,7942000,47.079252
2016-11-11,47.950001,48.23,47.57,47.779999,6956300,47.227516
2016-11-10,49.02,49.02,47.080002,47.91,11719200,47.356014
2016-11-09,49.709999,49.880001,48.919998,49.220001,13795200,48.650867
2016-11-08,50.75,51.040001,50.529999,50.759998,5678000,50.173057
2016-11-07,50.259998,50.630001,49.439999,50.619999,6570700,50.034677
2016-11-04,50.560001,50.77,50.00,50.110001,4807200,49.530576
2016-11-03,50.23,50.630001,50.009998,50.389999,4428800,49.807337
2016-11-02,50.32,50.400002,49.52,50.189999,6211100,49.609649
2016-11-01,51.619999,51.68,50.290001,50.48,6475800,49.896296
2016-10-31,50.849998,52.23,50.669998,51.57,6497900,50.973693
2016-10-28,50.84,50.990002,50.490002,50.700001,5012700,50.113753
2016-10-27,50.84,50.93,50.380001,50.759998,4776700,50.173057
2016-10-26,50.959999,51.060001,50.560001,50.970001,3983900,50.380632
2016-10-25,50.759998,51.07,50.68,50.970001,3587000,50.380632
2016-10-24,50.75,50.919998,50.369999,50.849998,3335100,50.262017
2016-10-21,50.50,50.779999,50.299999,50.529999,3342700,49.945717
2016-10-20,50.849998,51.209999,50.580002,50.720001,3180500,50.133523
2016-10-19,51.049999,51.130001,50.59,50.73,4769800,50.143405
2016-10-18,50.98,51.259998,50.330002,51.09,4333300,50.499243
2016-10-17,50.68,50.900002,50.580002,50.689999,3054200,50.103867
2016-10-14,50.639999,51.029999,50.439999,50.560001,3947800,49.975373
2016-10-13,50.099998,51.07,50.060001,50.759998,5275400,50.173057
2016-10-12,49.689999,50.150002,49.490002,50.029999,5651400,49.451499
2016-10-11,49.580002,49.720001,49.16,49.41,5868600,48.838669
2016-10-10,49.279999,49.779999,49.169998,49.75,4510200,49.174738
2016-10-07,49.84,50.080002,49.16,49.16,5247100,48.59156
2016-10-06,49.369999,49.720001,49.139999,49.43,6087200,48.858438
2016-10-05,49.889999,50.240002,49.41,49.52,5617300,48.947398
2016-10-04,50.66,50.66,49.540001,49.84,10301300,49.263697
2016-10-03,51.209999,51.27,50.34,50.720001,5459100,50.133523
2016-09-30,52.080002,52.380001,51.110001,51.299999,7048700,50.706814
2016-09-29,52.509998,52.59,51.82,52.049999,5877900,51.448142
2016-09-28,52.950001,53.02,52.509998,52.700001,5819700,52.090627
2016-09-27,53.52,53.73,52.759998,52.84,5774100,52.229008
2016-09-26,53.549999,53.630001,53.279999,53.310001,4689600,52.693574
2016-09-23,53.330002,53.630001,53.25,53.529999,4282700,52.911028
2016-09-22,53.360001,53.560001,53.09,53.48,4134100,52.861607
2016-09-21,52.09,53.209999,51.849998,53.18,4880000,52.565077
2016-09-20,52.52,52.66,52.130001,52.139999,3429100,51.537101
2016-09-19,52.099998,52.459999,52.00,52.43,4464900,51.823749
2016-09-16,51.619999,52.139999,51.279999,51.970001,16959300,51.369069
2016-09-15,51.27,51.619999,51.16,51.459999,4984800,50.864964
