Date,Open,High,Low,Close,Volume,Adj Close
2016-11-30,101.269997,101.639999,99.599998,99.800003,1471700,99.800003
2016-11-29,100.860001,102.370003,100.139999,101.269997,1159900,101.269997
2016-11-28,99.650002,101.779999,99.650002,101.25,1199800,101.25
2016-11-25,98.989998,99.959999,98.830002,99.459999,428100,99.459999
2016-11-23,100.00,100.339996,98.120003,98.68,1327300,98.68
2016-11-22,99.949997,100.760002,99.660004,100.190002,977100,100.190002
2016-11-21,100.25,100.32,98.860001,99.709999,1275700,99.709999
2016-11-18,99.459999,100.650002,99.279999,99.82,1971700,99.82
2016-11-17,98.040001,99.730003,98.040001,99.529999,1702700,99.529999
2016-11-16,97.279999,98.349998,96.529999,98.309998,1851800,98.309998
2016-11-15,95.330002,97.559998,94.849998,97.050003,1908500,97.050003
2016-11-14,95.769997,95.769997,92.949997,94.739998,3649000,94.739998
2016-11-11,97.220001,97.989998,95.400002,95.690002,1783300,95.690002
2016-11-10,98.739998,99.040001,96.559998,97.239998,2393600,97.239998
2016-11-09,102.690002,102.690002,98.029999,99.669998,3924200,99.669998
2016-11-08,104.099998,104.940002,103.720001,104.379997,704200,104.379997
2016-11-07,102.739998,104.110001,101.93,104.07,1409100,104.07
2016-11-04,101.470001,103.43,101.470001,102.099998,1936900,102.099998
2016-11-03,99.080002,101.300003,98.690002,100.980003,1393200,100.980003
2016-11-02,104.849998,105.220001,99.07,99.360001,4334600,99.360001
2016-11-01,107.099998,107.099998,104.540001,104.849998,1056800,104.849998
2016-10-31,105.669998,107.639999,105.459999,107.099998,1202600,107.099998
2016-10-28,104.809998,105.839996,104.150002,105.099998,682900,105.099998
2016-10-27,104.809998,105.230003,103.360001,104.57,1258300,104.57
2016-10-26,106.209999,109.419998,104.970001,105.349998,1699400,105.349998
2016-10-25,104.989998,106.43,104.839996,106.410004,684400,106.410004
2016-10-24,105.389999,105.809998,104.629997,105.209999,995500,105.209999
2016-10-21,104.830002,105.169998,104.360001,104.849998,696500,104.849998
2016-10-20,104.779999,105.57,104.660004,105.349998,1017000,105.349998
2016-10-19,105.199997,105.400002,104.580002,104.650002,809900,104.650002
2016-10-18,105.199997,105.529999,103.900002,105.059998,582100,105.059998
2016-10-17,104.190002,104.580002,103.940002,104.459999,774400,104.459999
2016-10-14,105.209999,105.209999,103.68,104.010002,975000,104.010002
2016-10-13,103.639999,105.230003,103.139999,104.599998,1042200,104.599998
2016-10-12,103.050003,103.75,102.699997,103.489998,1110900,103.489998
2016-10-11,103.949997,103.949997,102.209999,102.769997,1139500,102.769997
2016-10-10,103.010002,104.419998,102.959999,104.309998,964700,104.309998
