Date,Open,High,Low,Close,Volume,Adj Close
2017-04-28,10.39,11.16,10.29,10.82,000,10.82
2017-04-27,10.72,11.08,10.33,10.36,000,10.36
2017-04-26,10.61,10.89,10.39,10.85,000,10.85
2017-04-25,10.81,11.15,10.22,10.76,000,10.76
2017-04-24,11.56,12.01,10.82,10.84,000,10.84
2017-04-21,13.85,15.33,13.85,14.63,000,14.63
2017-04-20,14.59,14.81,13.83,14.15,000,14.15
2017-04-19,14.00,15.15,13.46,14.93,000,14.93
2017-04-18,14.50,15.50,14.29,14.42,000,14.42
2017-04-17,16.190001,16.280001,14.60,14.66,000,14.66
2017-04-13,15.89,16.219999,14.97,15.96,000,15.96
2017-04-12,15.16,16.16,14.84,15.77,000,15.77
2017-04-11,14.32,15.88,14.17,15.07,000,15.07
2017-04-10,13.24,14.11,12.94,14.05,000,14.05
2017-04-07,13.17,13.43,12.23,12.87,000,12.87
2017-04-06,13.11,13.22,11.70,12.39,000,12.39
2017-04-05,11.89,12.89,10.90,12.89,000,12.89
2017-04-04,12.71,13.07,11.70,11.79,000,11.79
2017-04-03,12.59,13.59,12.27,12.38,000,12.38
2017-03-31,11.61,12.54,11.50,12.37,000,12.37
2017-03-30,11.37,11.64,11.12,11.54,000,11.54
2017-03-29,11.54,11.70,11.03,11.42,000,11.42
2017-03-28,12.44,12.67,11.34,11.53,000,11.53
2017-03-27,14.78,15.11,12.48,12.50,000,12.50
2017-03-24,12.86,14.16,12.27,12.96,000,12.96
2017-03-23,12.65,13.17,12.18,13.12,000,13.12
2017-03-22,12.95,13.16,11.99,12.81,000,12.81
2017-03-21,11.15,12.85,10.92,12.47,000,12.47
2017-03-20,11.71,11.72,11.03,11.34,000,11.34
2017-03-17,11.38,11.38,10.78,11.28,000,11.28
2017-03-16,11.29,11.55,11.16,11.21,000,11.21
2017-03-15,12.12,12.25,10.60,11.63,000,11.63
2017-03-14,11.39,12.54,11.28,12.30,000,12.30
2017-03-13,12.16,12.23,11.29,11.35,000,11.35
2017-03-10,11.97,12.09,11.46,11.66,000,11.66
2017-03-09,11.75,12.43,11.62,12.30,000,12.30
2017-03-08,11.49,11.86,11.09,11.86,000,11.86
2017-03-07,11.27,11.58,11.04,11.45,000,11.45
2017-03-06,11.59,11.72,11.06,11.24,000,11.24
2017-03-03,11.96,11.97,10.94,10.96,000,10.96
2017-03-02,12.43,12.71,11.32,11.81,000,11.81
2017-03-01,12.31,12.58,11.78,12.54,000,12.54
2017-02-28,12.19,12.96,12.13,12.92,000,12.92
2017-02-27,11.78,12.14,11.53,12.09,000,12.09
2017-02-24,11.81,12.59,11.34,11.47,000,11.47
2017-02-23,11.66,12.46,11.54,11.71,000,11.71
2017-02-22,11.48,12.07,11.44,11.74,000,11.74
2017-02-21,12.05,12.09,11.50,11.57,000,11.57
2017-02-17,11.84,12.26,11.37,11.49,000,11.49
2017-02-16,12.02,12.86,11.69,11.76,000,11.76
2017-02-15,10.84,12.01,10.80,11.97,000,11.97
2017-02-14,11.17,11.34,10.73,10.74,000,10.74
2017-02-13,11.36,11.40,11.07,11.07,000,11.07
2017-02-10,10.85,10.95,10.55,10.85,000,10.85
2017-02-09,11.44,11.53,10.74,10.88,000,10.88
2017-02-08,11.19,11.82,11.15,11.45,000,11.45
2017-02-07,11.39,11.67,11.06,11.29,000,11.29
2017-02-06,11.37,11.84,11.09,11.37,000,11.37
2017-02-03,11.84,11.84,10.72,10.97,000,10.97
2017-02-02,12.37,12.47,11.62,11.93,000,11.93
2017-02-01,11.79,12.05,9.97,11.81,000,11.81
2017-01-31,12.29,12.99,11.79,11.99,000,11.99
2017-01-30,11.10,12.90,11.10,11.88,000,11.88
2017-01-27,10.57,10.82,10.30,10.58,000,10.58
2017-01-26,10.61,11.01,10.60,10.63,000,10.63
2017-01-25,10.79,11.05,10.51,10.81,000,10.81
2017-01-24,11.82,11.89,11.04,11.07,000,11.07
2017-01-23,12.30,12.62,11.59,11.77,000,11.77
2017-01-20,12.58,12.59,11.53,11.54,000,11.54
2017-01-19,12.58,13.28,12.17,12.78,000,12.78
2017-01-18,11.79,12.81,11.69,12.48,000,12.48
2017-01-17,12.20,12.75,11.79,11.87,000,11.87
2017-01-13,11.45,11.62,10.94,11.23,000,11.23
2017-01-12,11.48,12.60,11.32,11.54,000,11.54
2017-01-11,11.56,12.23,11.21,11.26,000,11.26
2017-01-10,11.59,11.79,11.31,11.49,000,11.49
2017-01-09,11.71,12.08,11.46,11.56,000,11.56
2017-01-06,11.70,11.74,10.98,11.32,000,11.32
2017-01-05,11.96,12.09,11.40,11.67,000,11.67
2017-01-04,12.78,12.80,11.63,11.85,000,11.85
2017-01-03,14.07,14.07,12.85,12.85,000,12.85
2016-12-30,13.20,14.68,13.05,14.04,000,14.04
2016-12-29,13.15,13.71,12.95,13.37,000,13.37
2016-12-28,11.89,13.04,11.85,12.95,000,12.95
2016-12-27,12.26,12.33,11.84,11.99,000,11.99
2016-12-23,11.38,11.81,11.35,11.44,000,11.44
2016-12-22,11.32,11.67,11.14,11.43,000,11.43
2016-12-21,11.44,11.49,10.93,11.27,000,11.27
2016-12-20,11.65,11.75,11.38,11.45,000,11.45
2016-12-19,12.50,12.52,11.67,11.71,000,11.71
2016-12-16,12.88,12.95,12.15,12.20,000,12.20
2016-12-15,13.07,13.24,12.46,12.79,000,12.79
2016-12-14,12.88,13.39,12.48,13.19,000,13.19
2016-12-13,12.46,13.42,12.34,12.72,000,12.72
2016-12-12,12.23,12.78,12.07,12.64,000,12.64
2016-12-09,12.59,12.72,11.67,11.75,000,11.75
2016-12-08,12.10,13.40,11.30,12.64,000,12.64
2016-12-07,11.59,12.24,11.33,12.22,000,12.22
2016-12-06,12.19,12.30,11.54,11.79,000,11.79
2016-12-05,13.75,13.77,12.14,12.14,000,12.14
2016-12-02,14.16,14.48,12.39,14.12,000,14.12
2016-12-01,13.40,14.72,13.05,14.07,000,14.07
2016-11-30,12.60,13.42,12.23,13.33,000,13.33
2016-11-29,13.07,13.55,12.62,12.90,000,12.90
2016-11-28,13.40,13.50,12.74,13.15,000,13.15
2016-11-25,12.52,12.74,12.31,12.34,000,12.34
2016-11-23,12.34,13.01,12.19,12.43,000,12.43
2016-11-22,12.26,12.83,12.20,12.41,000,12.41
2016-11-21,13.27,13.44,12.16,12.42,000,12.42
2016-11-18,13.56,13.74,12.85,12.85,000,12.85
2016-11-17,13.37,13.55,12.97,13.35,000,13.35
2016-11-16,13.51,14.49,13.51,13.72,000,13.72
2016-11-15,14.16,14.65,13.30,13.37,000,13.37
2016-11-14,14.69,15.56,14.39,14.48,000,14.48
2016-11-11,14.83,16.00,14.15,14.17,000,14.17
2016-11-10,14.01,16.299999,13.26,14.74,000,14.74
2016-11-09,20.700001,21.48,14.33,14.38,000,14.38
2016-11-08,18.92,19.91,17.700001,18.74,000,18.74
2016-11-07,19.780001,19.860001,18.389999,18.709999,000,18.709999
2016-11-04,21.860001,23.01,19.200001,22.51,000,22.51
2016-11-03,19.85,22.57,18.84,22.08,000,22.08
2016-11-02,19.09,19.82,18.559999,19.32,000,19.32
2016-11-01,16.540001,20.43,16.51,18.559999,000,18.559999
2016-10-31,16.309999,17.629999,16.25,17.059999,000,17.059999
2016-10-28,15.67,17.35,14.65,16.190001,000,16.190001
2016-10-27,14.37,15.43,13.60,15.36,000,15.36
2016-10-26,13.66,14.80,13.66,14.24,000,14.24
2016-10-25,12.91,13.86,12.73,13.46,000,13.46
2016-10-24,13.19,13.26,12.83,13.02,000,13.02
2016-10-21,14.04,14.53,13.27,13.34,000,13.34
2016-10-20,14.43,14.72,13.74,13.75,000,13.75
2016-10-19,15.45,15.68,13.87,14.41,000,14.41
2016-10-18,15.82,15.85,15.03,15.28,000,15.28
2016-10-17,17.01,17.110001,16.129999,16.209999,000,16.209999
2016-10-14,16.49,16.50,15.25,16.120001,000,16.120001
2016-10-13,16.879999,17.950001,16.139999,16.690001,000,16.690001
2016-10-12,15.53,16.34,15.26,15.91,000,15.91
2016-10-11,13.71,16.469999,13.69,15.36,000,15.36
2016-10-10,14.19,14.36,13.29,13.38,000,13.38
2016-10-07,13.52,14.15,12.21,13.48,000,13.48
2016-10-06,13.11,13.84,12.80,12.84,000,12.84
2016-10-05,13.56,13.68,12.70,12.99,000,12.99
2016-10-04,13.40,14.57,12.92,13.63,000,13.63
2016-10-03,13.75,14.42,13.42,13.57,000,13.57
2016-09-30,14.91,15.20,12.53,13.29,000,13.29
2016-09-29,12.53,15.69,12.14,14.02,000,14.02
2016-09-28,12.90,13.57,12.24,12.39,000,12.39
2016-09-27,13.36,14.76,12.97,13.10,000,13.10
2016-09-26,13.26,14.63,13.26,14.50,000,14.50
2016-09-23,12.00,12.58,11.93,12.29,000,12.29
2016-09-22,13.39,13.39,11.76,12.02,000,12.02
2016-09-21,15.07,15.65,12.98,13.30,000,13.30
2016-09-20,14.98,16.09,14.69,15.92,000,15.92
2016-09-19,15.14,15.96,14.60,15.53,000,15.53
2016-09-16,16.41,17.10,15.28,15.37,000,15.37
2016-09-15,17.969999,18.07,15.74,16.299999,000,16.299999
2016-09-14,17.629999,18.139999,16.34,18.139999,000,18.139999
2016-09-13,15.98,18.969999,15.83,17.85,000,17.85
2016-09-12,20.129999,20.51,14.76,15.16,000,15.16
2016-09-09,12.52,17.540001,12.52,17.50,000,17.50
2016-09-08,11.74,12.60,11.65,12.51,000,12.51
2016-09-07,11.89,12.45,11.77,11.94,000,11.94
2016-09-06,12.42,12.93,11.85,12.02,000,12.02
2016-09-02,13.47,13.90,11.90,11.98,000,11.98
2016-09-01,13.07,14.61,12.99,13.48,000,13.48
2016-08-31,13.14,14.34,12.97,13.42,000,13.42
2016-08-30,12.94,13.60,12.70,13.12,000,13.12
2016-08-29,14.09,14.43,12.90,12.94,000,12.94
2016-08-26,13.54,14.93,12.13,13.65,000,13.65
2016-08-25,13.62,14.09,13.29,13.63,000,13.63
2016-08-24,12.70,14.01,12.30,13.45,000,13.45
2016-08-23,12.15,12.44,11.72,12.38,000,12.38
2016-08-22,12.53,13.02,11.94,12.27,000,12.27
2016-08-19,11.67,12.28,11.33,11.34,000,11.34
2016-08-18,12.20,12.53,11.42,11.43,000,11.43
2016-08-17,12.57,13.71,12.14,12.19,000,12.19
2016-08-16,12.04,12.78,11.87,12.64,000,12.64
2016-08-15,11.81,12.17,11.58,11.81,000,11.81
2016-08-12,11.61,12.00,11.28,11.55,000,11.55
2016-08-11,11.93,12.11,11.38,11.68,000,11.68
2016-08-10,11.55,12.50,11.37,12.05,000,12.05
2016-08-09,11.40,11.92,11.02,11.66,000,11.66
2016-08-08,11.66,11.78,11.41,11.50,000,11.50
2016-08-05,12.08,12.26,11.18,11.39,000,11.39
2016-08-04,12.73,12.98,11.79,12.42,000,12.42
2016-08-03,13.53,13.91,12.73,12.86,000,12.86
2016-08-02,12.39,14.24,12.35,13.37,000,13.37
2016-08-01,11.89,12.98,11.86,12.44,000,12.44
2016-07-29,12.85,12.90,11.77,11.87,000,11.87
2016-07-28,12.51,13.52,12.36,12.72,000,12.72
2016-07-27,12.61,13.74,12.50,12.83,000,12.83
2016-07-26,12.88,13.50,12.80,13.05,000,13.05
2016-07-25,12.64,13.72,12.39,12.87,000,12.87
2016-07-22,12.80,12.88,11.97,12.02,000,12.02
2016-07-21,11.80,13.06,11.69,12.74,000,12.74
2016-07-20,11.94,11.97,11.40,11.77,000,11.77
2016-07-19,12.53,12.83,11.94,11.97,000,11.97
2016-07-18,12.75,13.12,12.33,12.44,000,12.44
2016-07-15,13.12,13.22,12.27,12.67,000,12.67
2016-07-14,12.50,13.37,12.14,12.82,000,12.82
2016-07-13,13.32,13.79,12.92,13.04,000,13.04
2016-07-12,12.93,13.93,12.75,13.55,000,13.55
2016-07-11,13.25,13.67,13.00,13.54,000,13.54
2016-07-08,14.64,14.75,13.19,13.20,000,13.20
2016-07-07,14.80,15.98,14.33,14.76,000,14.76
2016-07-06,15.87,17.040001,14.96,14.96,000,14.96
2016-07-05,16.049999,16.620001,15.49,15.58,000,15.58
2016-07-01,15.59,15.86,14.61,14.77,000,14.77
2016-06-30,16.91,16.99,15.29,15.63,000,15.63
2016-06-29,18.120001,18.27,16.48,16.639999,000,16.639999
2016-06-28,21.76,22.07,18.75,18.75,000,18.75
2016-06-27,24.379999,26.719999,22.93,23.85,000,23.85
2016-06-24,26.059999,26.24,19.48,25.76,000,25.76
2016-06-23,19.540001,19.790001,17.25,17.25,000,17.25
2016-06-22,18.26,21.219999,17.83,21.17,000,21.17
2016-06-21,17.67,18.959999,16.91,18.48,000,18.48
2016-06-20,17.42,18.549999,16.59,18.370001,000,18.370001
2016-06-17,19.42,20.030001,18.709999,19.41,000,19.41
2016-06-16,20.799999,22.889999,19.24,19.370001,000,19.370001
2016-06-15,20.25,20.450001,18.629999,20.139999,000,20.139999
2016-06-14,21.280001,22.16,20.27,20.50,000,20.50
2016-06-13,18.24,21.01,17.889999,20.969999,000,20.969999
2016-06-10,14.89,17.33,14.85,17.030001,000,17.030001
2016-06-09,14.01,14.85,13.99,14.64,000,14.64
2016-06-08,13.84,14.27,13.70,14.08,000,14.08
2016-06-07,12.77,14.05,12.72,14.05,000,14.05
2016-06-06,13.84,14.27,13.42,13.65,000,13.65
2016-06-03,13.78,14.66,12.90,13.47,000,13.47
2016-06-02,14.42,14.92,13.62,13.63,000,13.63
2016-06-01,14.45,15.25,14.18,14.20,000,14.20
2016-05-31,13.94,15.00,13.45,14.19,000,14.19
2016-05-27,13.49,13.76,13.04,13.12,000,13.12
2016-05-26,13.80,14.11,13.43,13.43,000,13.43
2016-05-25,14.19,14.33,13.64,13.90,000,13.90
2016-05-24,16.030001,16.059999,14.36,14.42,000,14.42
2016-05-23,16.33,16.469999,15.40,15.82,000,15.82
2016-05-20,16.129999,16.299999,15.11,15.20,000,15.20
2016-05-19,16.370001,17.65,16.280001,16.33,000,16.33
2016-05-18,15.72,16.469999,14.86,15.95,000,15.95
2016-05-17,14.57,16.120001,14.48,15.57,000,15.57
2016-05-16,15.72,15.98,14.28,14.68,000,14.68
2016-05-13,15.15,15.47,13.97,15.04,000,15.04
2016-05-12,14.55,15.42,13.95,14.41,000,14.41
2016-05-11,13.92,14.69,13.29,14.69,000,14.69
2016-05-10,13.98,14.35,13.55,13.63,000,13.63
2016-05-09,15.20,15.39,14.17,14.57,000,14.57
2016-05-06,16.200001,16.58,14.71,14.72,000,14.72
2016-05-05,15.54,16.450001,15.22,15.91,000,15.91
2016-05-04,15.47,16.85,15.39,16.049999,000,16.049999
2016-05-03,14.92,16.42,14.91,15.60,000,15.60
2016-05-02,16.33,16.50,14.48,14.68,000,14.68
2016-04-29,15.21,17.09,14.91,15.70,000,15.70
2016-04-28,14.53,15.61,13.30,15.22,000,15.22
2016-04-27,14.15,14.95,13.50,13.77,000,13.77
2016-04-26,14.01,14.43,13.66,13.96,000,13.96
2016-04-25,14.07,14.76,13.86,14.08,000,14.08
2016-04-22,13.70,14.19,13.15,13.22,000,13.22
2016-04-21,13.20,14.14,13.16,13.95,000,13.95
2016-04-20,13.39,13.50,12.50,13.28,000,13.28
2016-04-19,13.18,13.88,12.98,13.24,000,13.24
2016-04-18,14.87,14.94,13.23,13.35,000,13.35
2016-04-15,13.77,14.19,13.58,13.62,000,13.62
2016-04-14,13.90,14.12,13.38,13.72,000,13.72
2016-04-13,14.49,14.53,13.60,13.84,000,13.84
